bahubali	बाहुबली
hui	हुई
fail	फेल
bhakto	भक्तो
bajao	बजाओ
taali	ताली
kaho	कहो
sanghi	संघी
mera	मेरा
raha	रहा
aache	आचे
din	दिन
gaye	गए
haal	हाल
saal	साल
maar	मार
pehli	पहली
barbad	बरबाद
kiya	किया
sab	सब
vyaapari	व्यापारी
har	हर
chunav	चुनाव
jita	जीता
rahe	रहे
sirji	सिरजी
gumraah	गुमराह
karne	करने
banane	बनाने
lambi	लम्बी
khade	खाडे
itni	इतनी
aasaani	आसानी
taqleefein	तकलीफेन
bhool	भूल
bina	बिना
koi	कोई
virodh	विरोध
kiye	किये
mushkilon	मुश्किलों
dhakele	ढकेले
ja	जा
jab	जब
aapne	आपने
aapka	आपका
dukh	दुख
sehte	सहते
pura	पुरा
saath	साथ
usi	उसी
tarah	तरह
kide	किडे
sanvidhan	संविधान
nikal	निकाल
dijiye	दीजिये
samarthan	समर्थन
based	बेस्ड
sahab	साहब
kaha	कहा
kioo	कियो
diye	दिये
bhonk	भोंक
lagu	लागू
vedesh	वेदेश
bhagega	भगेगा
uske	उसके
waha	वहा
kutte	कुत्ते
bhokega	भोकेगा
acche	अच्छे
aagaye	आगये
jaise	जैसे
faida	फाइदा
bi	बी
wale	वाले
chandigarh	चंडीगढ़
abhitak	अभिताक
sabse	सबसे
bada	बड़ा
maine	मैंने
aj	आज
mahine	महीने
pahle	पहले
gaya	गया
rate	रेट
badhega	बढ़ेगा
yaha	यहा
ulta	उल्टा
reha	रेहा
fir	फिर
mahan	महान
dil	दिल
jeete	जीते
gaon	गांव
bilkul	बिलकुल
dehat	देहात
mere	मेरे
pahuch	पहुच
kahin	कहीं
sabhi	सभी
malum	मालूम
pta	पीटीए
nhi	न्ही
kahe	कहे
aazad	आज़ाद
tera	तेरा
dekh	देख
harvard	हार्वर्ड
sharma	शर्मा
kis	किस
ulloo	उल्लू
saakh	साख
mitti	मिट्टी
vikas	विकास
kisi	किसी
samay	समय
sakta	सकता
gayi	गायी
lakh	लाख
carore	करोर
jagah	जगह
lena	लेना
khud	खुद
khushi	खुशी
jis	जिस
humara	हुमारा
diwala	दिवाला
nikalne	निकलने
nikaal	निकाल
jayega	जाएगा
bhala	भला
krne	करने
wajah	वजाह
srijan	सृजन
ujagar	उजागर
janha	जन्हा
tanha	तन्हा
gya	गया
tamacha	तमाचा
vapak	वापक
thai	थाई
bole	बोले
kucch	कुछ
hajarcaror	हाजरकरोर
rupye	रुपये
banko	बैंको
jama	जमा
huye	हुये
kam	काम
lagaye	लगाये
mitronnnnnnn	मिटरोंन
kara	करा
wali	वाली
aati	आती
phenk	फेंक
koyi	कोई
karke	करके
insaan	इंसान
bhir	भीर
vikash	विकाश
mare	मरे
iske	इसके
ghar	घर
mout	माउट
naachegi	नाचेगी
bhuktto	भुकटो
tumko	तुमको
jhatake	झटके
bhikhmanga	भीखमंगा
bana	बना
tumhare	तुम्हारे
jindagi	जिंदगी
bhar	भर
bheekh	भीख
mangega	मांगेगा
zakhm	ज़ख्म
bhara	भरा
ghaav	घाव
berozgari	बेरोजगारी
mahila	महिला
suraksha	सुरक्षा
ratio	रेशियो
badgaya	बडगाया
chuka	चुका
nahin	नहीं
main	मैं
bar-2	बार-2
niyam	नियम
badla	बदला
karna	कर्ण
sai	साई
pehla	पहला
budhiman	बुधिमान
sochta	सोचता
murakh	मुरख
itne	इतने
dino	दिनो
apko	अपको
yaad	याद
rha	रहा
galat	गलत
faisla	फैसला
kisne	किसने
jinka	जिनका
asaliyat	असलियत
chal	चल
yahi	यही
fayda	फायदा
tir	तीर
kahi	कही
naa	ना
jaye	जाए
samhhal	सम्हाल
mariyega	मरियेगा
misfire	मिसफायर
sikhaao	सिखाओ
apne	अपने
bhai	भाई
beda	बेड़ा
gark	गर्क
sirf	सिर्फ
baare	बारे
abhi	अभि
kitne	कितने
aane	आने
baqi	बाकी
mantrimahodaya	मंत्रिमहोदय
jeet	जीत
karte	करते
paresani	परेसानी
haai	हाई
isse	इसे
aacha	आचा
gujrat	गुजरात
milega	मिलेगा
baki	बाकी
dost	दोस्त
jabse	जबसे
lagakar	लगाकर
bar	बार
pada	पड़ा
virus	वायरस
felane	फेलने
band	बंद
rahi	रही
bevakoof	बेवकूफ
nai	नई
banne	बन्ने
vali	वाली
dikhane	दिखाने
kosis	कोसिस
garibon	गरीबों
qki	ककि
garib	गरीब
parivar	परिवार
bhul	भूल
jaiye	जाइए
kha	खा
samajh	समझ
gai	गई
businessmen	बिजनेसमेन
sarkaar	सरकार
sanjay	संजय
leela	लीला
bhansali	भंसाली
laga	लगा
lagte	लगते
boot	बूट
waale	वाले
dekha	देखा
bata	बता
hoon	हूँ
kyunki	क्यूंकि
andar	अंदर
baithe	बैठे
peeche	पीछे
ghus	घुस
porbandar	पोरबंदर
apna	अपना
lete	लेटे
satta	सत्ता
aakar	आकार
jesi	जेसी
aatankwadi	आतंकवादी
harkat	हरकत
karate	कराटे
sara	सारा
maal	माल
jese	जेसे
pillo	पिल्लो
dete	देते
pure	पुरे
lut	लुट
bharat	भारत
kitna	कितना
kala	काला
dhan	धन
aaya	आया
accha	अच्छा
prashna	प्रश्ना
chillar	चिल्लर
puccha	पुछा
value	वैल्यू
badh	बढ़
bahut	बहुत
gujaraat	गुजरात
anusaar	अनुसार
iska	इसका
filhal	फिलहाल
hota	होता
dikh	दिख
jitni	जितनी
shayad	शायद
sone	सोने
majdoor	मजदूर
bhukhe	भूखे
soye	सोये
dikhaega	दिखाएगा
kaunse	कौंसे
chaurahe	चौराहे
pe	पे
milenge	मिलेंगे
janna	जन्ना
chahti	चाहती
valo	वालो
alag	अलग
lute	लूट
goli	गोली
maro	मारो
socho	सोचो
policy	पोलिसी
tuglaqi	तुगलकी
kaala	काला
saap	साप
phus	फुस
anar	अनार
iss	आईएस
jao	जाओ
badhali	बधाली
kyoki	क्योकी
aaaj	आज
diwali	दिवाली
saanp	सांप
kade	कड़े
utha	उठा
skta	सक्ता
inka	इनका
paise	पैसे
milte	मिलते
inhi	इन्ही
gaddaro	गद्दारो
benakab	बेनकब
karta	कर्ता
mazra	मजरा
kiske	किसके
safed	सफेद
launde	लौंडे
islam	इस्लाम
hindu	हिंदू
dikhai	दिखाई
deta	देता
ghotala	घोटाला
dikhao	दिखाओ
bhrosa	भरोसा
kye	के
hare	हरे
duniya	दुनिया
jate	जाते
karan	कारण
abb	अब
nind	निंद
khuli	खुली
jhut	झूट
vakalat	वकालत
chuss	चुस
poori	पूरी
taiyar	तैयार
hawaiyan	हवैयां
udd	उड
gyi	गयी
pad	पद
chaplusi	चपलूसी
utar	उतर
jaiyega	जाइयेगा
janata	जनता
janardan	जनार्दन
faisala	फैसला
jaldi	जल्दी
sona	सोना
shubha	शुभा
baje	बजे
hamare	हमारे
future	फ्यूचर
lagega	लगेगा
jawab	जवाब
uska	उस्का
sare	सारे
jit	जीत
mil	मिल
march	मार्च
kitni	कितनी
pareshan	परेशान
jalwa	जलवा
badhta	बढ़ता
beshak	बेशक
puri	पूरी
phla	फला
bhut	भूत
kadam	कदम
rokne	रोकने
vyapariyo	व्यापारियो
iseeliye	इसीलिए
humne	हमने
nirdosh	निर्दोष
beta	बेटा
nahee	नाही
chahiyeh	चाहियेह
apni	अपनी
maa	मा
khada	खाड़ा
hame	हमे
ginva	गिनवा
jinse	जिनसे
gareebon	गरीबों
lagkr	लग्कर
marne	मरने
alawa	अलावा
pareshani	परेशानी
hoti	होती
ilaj	इलाज
teeke	टीके
yehi	यही
pado	पड़ो
videsh	विदेश
kisan	किसन
tabah	तबाह
notice	नोटिस
bhej	भेज
tang	टांग
garq	गार्क
rahul	राहुल
baba	बाबा
barse	बरसे
farmer	फार्मर
mahoba	महोबा
matar	मातर
kilo	किलो
kaaran	कारण
chunaav	चुनाव
batayenge	बतायेंगे
inko	इनको
jaanta	जानता
kiska	किसका
bike	बाइक
achanak	अचानक
meri	मेरी
nazarein	नजरें
mahaan	महान
bhakton	भक्तों
dhundhne	ढूंढने
lagi	लगी
jinhone	जिन्होने
shahrukh	शाहरुख
khan	खान
insan	इंसान
hogyi	होगयी
jaan	जान
chuke	चुके
zimmedar	जिम्मेदार
kurte	कुर्ते
babu	बाबू
garibo	गरीबो
fayeda	फायेदा
uthana	उठाना
dekhiye	देखिये
feku	फेकू
barbaad	बर्बाद
naam	नाम
huey	हुए
unka	उनका
chowraha	चौराहा
wada	वाडा
dhare	धरे
rah	रह
jante	जानते
whale	व्हेल
kaladhan	कलाधन
app	एपी
netao	नेताओ
bhrashtachar	भ्रष्टाचार
li	ली
bol	बोल
kami	कामी
padha	पढ़ा
likhna	लिखना
gyani	ज्ञानी
batao	बताओ
mujhe	मुझे
lagta	लगता
sunder	सुंदर
paiso	पैसो
badi	बड़ी
rup	रूप
dhire	धीरे
sik	सिक
vyapariyon	व्यापारियों
achha	अछा
kijiye	कीजिये
takleef	तकलीफ
ladkiya	लड़किया
gori	गोरी
jaati	जाती
khatra	खतरा
jatley	जाटले
pucho	पूछो
jinki	जिनकी
vision	विजन
roshni	रोशनी
krri	क्री
dega	देगा
tu	तू
kal	काल
market	मार्केट
itnee	इतनी
bheed	भीड़
asar	असर
khoob	खूब
kasam	कसम
kasoor	कसूर
janaab	जनाब
baant	बांट
shadi	शादी
zaroor	ज़रूर
bhakt	भक्त
honge	होंगे
humare	हुमारे
jeb	जेब
daliye	डालिये
chor	चोर
khtm	ख़त्म
gye	गये
bachi	बची
sidhi	सीधी
sadhi	साधी
kyahi	क्याही
kare	करे
malya	माल्या
adani	अदानी
raimashwira	रायमश्विरा
sabak	सबक
liya	लिया
appko	अप्पको
apke	अपके
walon	वालों
hona	होना
chayee	छाई
aaplogon	आपलोगों
chacha	चाचा
saare	सारे
kab	कैब
deshvasi	देशवासी
chhod	छोड़
dono	दोनो
cheezon	चीजोन
ayodha	अयोधा
rammandir	राममंदिर
denge	देंगे
mai	माई
aata	आता
kahunga	कहूँगा
zinda	ज़िंदा
mar	मर
gayae	गया
population	पॉपुलेशन
liyae	लियाए
jisme	जिस्मे
dikkt	दिक्कत
aapko	आपको
hogaye	होगाये
aate	आते
notebandi	नोटबंदी
fyada	फ्यादा
ish	ईश
bohut	बोहुत
ghaata	घाटा
shah-zade	शाह-ज़ाड़े
shuru	शुरू
crore	क्रोर
kardi	करदी
saansein	सांसें
thoda	थोडा
pappu	पप्पू
udyogpatio	उद्योग्पतिओ
agli	अगली
sabit	साबित
majak	मजाक
banate	बनाते
jee	जी
naraj	नाराज
gaddar	गद्दार
bandi	बंदी
badhai	बढ़ाई
hamaare	हमारे
khali	खाली
hogaya	होगया
raghu	रघु
ramrajan	रामराजन
amantrana	अमंत्रणा
haay	हाय
tauba	तौबा
machane	मचाने
kaali	काली
kamai	कमाई
doob	डूब
mana	माना
anti	अन्ति
manayenge	मनायेंगे
carib	करीब
khilaf	खिलाफ
hadd	हैड
bhrastachar	भ्रस्ताचार
safaya	सफाया
poora	पूरा
digital	डिजिटल
jise	जिसे
bajariyon	बजरियों
gayee	गयी
jitne	जितने
papa	पापा
katke	कटके
bachaye	बचाये
karana	करना
walo	वालो
asan	असन
saudi	सौदी
arab	अरब
bechara	बेचारा
bikhari	बिखरी
gaali	गाली
rehta	रहता
dekho	देखो
jashn	जश्न
unn	उन्न
pariwar	परिवार
bulaya	बुलाया
jaega	जाएगा
jinke	जिनके
mei	मै
majority	मेजोरिटी
unke	उनके
ruk	रुक
jaata	जाता
pass	पास
karaya	कराया
banda	बंदा
kahta	कहता
jarur	जरूर
chalo	चलो
kisse	किस्से
sunte	सुनते
saam	साम
zarur	ज़रूर
dekhe	देखे
jaae	जाए
payi	पायी
jhoot	झूठ
batane	बताने
siwa	सिवा
pahad	पहाड़
pate	पते
gina	गिना
prashansa	प्रशंसा
bajaye	बजाये
mile	मिले
sahi	सही
salute	सैल्यूट
talaq	तलाक
mahilaye	महिलाये
dikhe	दिखे
salaam	सलाम
bolna	बोलना
dekar	देकर
kasmir	कसमीर
pakistan	पाकिस्तान
deni	देनी
muslim	मुस्लिम
virodhi	विरोधी
samjhe	समझे
afsos	अफसोस
nari	नारी
roop	रूप
mani	मणि
arnab	अर्नब
bahan	बहन
beti	बेटी
mataram	मातरम
gayenge	गायेंगे
nikah	निकाह
jaha	जहा
kaltak	कलटक
banehue	बनेहुए
hinduism	हिंदुइस
upar	उपर
bhokalagaye	भोकलगाये
behenji	बहनजी
haq	हक
awaaz	आवाज़
uthati	उठाती
abi	अबी
bharatiyo	भारतीय
phukat	फुकट
zindagi	ज़िंदगी
guzarna	गुजरना
chahre	चहरे
jawan	जवान
kanun	कानून
bhada	भादा
mehlao	मेहलाओ
praud	प्रौड
jeeny	जीनी
ley	ली
ga	ग
milta	मिलता
burkha	बुरखा
mahashay	महाशय
wahan	वहाँ
amnesia	अमनेसिया
jata	जाता
khuda	खुदा
rahmat	रहमत
dahej	दहेज
sati-pratha	सती-प्रथा
dhong	ढोंग
dohra	दोहरा
charitr	चरित्र
saamne	सामने
bolne	बोलने
roka	रोका
sickulars	सिकुलर
cheej	चीज
debate	डिबेट
jaroorat	जरूरत
karega	करेगा
tukde	टुकडे
savko	सावको
chahiye	चाहिये
shariyat	शरियत
chalne	चलने
ayega	आयेगा
beheno	बेहेनो
hifazat	हिफाजत
rasta	रास्ता
banao	बनाओ
samaz	समज
lago	लागो
bhaashan	भाषण
jumla	जुमला
whatsapp	वॉटसैप
saqta	सकता
larki	लरकी
jindegi	जिनदेगी
suspension	सस्पेंशन
bara	बारा
kah	कह
manege	मानेगे
jabki	जबकी
aya	आया
umar	उमर
bashirhat	बशीरहाट
kahan	कहां
bachaa	बचा
rahey	रहे
samuday	समुदाय
talak	तलक
bandh	बांध
khatre	खतरे
ladke	लड़के
jakr	जाकर
qubool	कुबूल
maang	मांग
bharosa	भरोसा
kyonki	क्योंकी
unhe	उन्हे
biwi	बीवी
jyada	ज्यादा
mulle	मुल्ले
pasand	पसंद
jaatiwaad	जातिवाद
soch	सोच
3talaq	3तलाक
male	मेल
aawaz	आवाज़
jahil	जाहिल
bach	बैक
hal	हल
zariye	ज़रिये
jaj	जज
pawor	पवोर
jae	जाए
full	फुल
khtra	खतरा
mulk	मुल्क
sadak	सड़क
lana	लाना
banakr	बनाकर
nikala	निकला
warna	वर्णा
tutega	टूटेगा
murder	मर्डर
acha	अचा
murde	मुर्दे
jalane	जलाने
rape	रेप
pideeton	पिडीटों
thodi	थोड़ी
chinta	चिंता
pideet	पिडीत
mahilao	महिलाओ
kariye	करिये
batya	बतया
bhe	भे
jismey	जिसमे
aprad	अपरद
dene	देने
jayenge	जायेंगे
karenge	करेंगे
naye	नये
chalu	चालू
jahan	जहां
saheb	साहेब
bahot	बहोत
jaruri	जरुरी
zamaane	ज़माने
mahilaon	महिलाओं
bharpoor	भरपूर
samjho	समझो
bhasan	भासन
chaloge	चलोगे
samasyao	समस्याओ
sudhariye	सुधारिये
karwa	करवा
hamesha	हमेशा
andho	अन्धो
paksh	पक्ष
dalil	दलील
gandhi	गांधी
village	विलेज
kabi	काबी
bahar	बाहर
niklo	निकलो
fikr	फिकर
inki	इनकी
rasm	रस्म
najayaj	नाजयज
mazak	मजाक
nayi	नयी
lai	लाई
aao	आओ
tbhi	तभी
dakhl	दखल
chahte	चाहते
galti	गलती
saza	सज़ा
bhugte	भुगते
aurat	औरत
uski	उसकी
marzi	मरजी
jan	जन
nah8	नाह8
chahta	चाहता
pati	पति
milni	मिलनी
karegi	करेगी
esko	एस्को
sulza	सुलजा
aage	आगे
janwr	जनवर
bachake	बचके
insano	इंसानो
rhi	रही
dilane	दिलाने
kua	कुआ
bade	बड़े
kashmir	कश्मीर
shabd	शब्द
zyada	ज्यादा
chilla	चिल्ला
shaadi	शादी
chahate	चाहते
bolo	बोलो
smriti	स्मृति
irani	ईरानी
baadme	बादमे
doosro	दूसरो
barsaat	बरसात
jihadi	जिहादी
sanghan	संघन
abdul	अब्दुल
itna	इतना
gussa	गुस्सा
kyu	क्यू
behenon	बहनों
kon	कोन
milne	मिलने
bhakts	भक्त
behen	बहन
waisi	वैसी
awaj	आवाज
uthayegi	उठायेगी
jin	जिन
marriage	मैरिज
halala	हलाला
farmula	फरमुला
tumne	तुमने
ukhaad	उखाड़
dusre	दुसरे
kehna	कहना
suno	सुनो
najar	नजर
krna	कर्ना
usme	उसमे
dikkat	दिक्कत
hori	होरी
lga	लगा
jaayega	जाएगा
laagu	लागू
paas	पास
dekhlo	देखलो
jaane	जाने
gilani	गिलानी
kamjor	कमजोर
unko	उनको
jana	जाना
india	इंडिया
ladai	लड़ाई
rehi	रेही
manne	मन्ने
chala	चला
biti	बिटी
tabhi	तभी
paata	पाता
pain	पैन
samhjo	सम्हजो
shame	शेम
bibi	बीबी
liberal	लिबरल
samjhti	समझती
hogga	होगा
waah	वाह
ghanta	घंटा
pani	पानी
ayye	आये
deti	देती
honne	होन
lawyer	लॉयर
patakhe	पटाखे
karwate	करवाते
ladte	लड़ते
kehte	कहते
hinduon	हिंदुओं
maathe	माथे
likha	लिखा
farji	फर्जी
aadmion	आदमीओन
kahegi	कहेगी
mulla	मुल्ला
molvi	मोलवी
isko	इसको
jine	जीने
pas	पास
gadbad	गड़बड़
gumrahi	गुमराही
saab	साब
mubarak	मुबारक
aahista	आहिस्ता
waise	वैसे
illegal	इल्लेगल
khulkar	खुलकर
tataf	टटफ
dhol	ढोल
bajate	बजाते
mam	मम
karti	करती
nahy	नही
hosake	होसके
derahe	देराहे
sambhal	सम्भल
mardon	मर्दों
hoi	होई
naaki	नाकी
chitthi	चिट्ठी
teen	टीन
gharelu	घरेलु
hinsa	हिंसा
bura	बुरा
waja	वाजा
chaye	चाये
agarwal	अग्रवाल
hamara	हमारा
kahna	कहना
britain	ब्रिटेन
burka	बुर्का
uljhe	उलझे
nikalo	निकलो
krta	क्रता
lagate	लगाते
chori	चोरी
sajaa	सजा
maarne	मारने
banaya	बनाया
khilaaf	खिलाफ
jyda	जिदा
gore	गोरे
chitte	चिट्टे
bhare	भरे
hara	हरा
paan	पान
lagao	लगाओ
gandangi	गंदंगी
mitane	मिटाने
bolotab	बोलोटब
ham	हम
kahenge	कहेंगे
allah	अल्लाह
sansad	संसद
pase	पेस
isliye	इसलिए
bahana	बहना
aasan	आसन
dena	देना
kamal	कमल
maulavis	मौलविस
awaz	आवाज़
uthate	उठाते
azan	अज़ान
yaar	यार
sati	सती
pratha	प्रथा
phr	फ्र
bandho	बंधो
invalid	इनवलीद
nuqsan	नुकसान
ladies	लेडीज
kehne	कहने
balki	बालकी
rakhel	राखेल
hojati	होजती
awaaj	आवाज
sayad	सायद
sharm	शर्म
kro	करो
doston	दोस्तों
jane	जाने
hath	हाथ
pi6e	पी6ए
pargaya	परगाया
shantiduto	शांतिदुतो
usiko	उसीको
jail	जेल
kharcha	खर्चा
chup	चुप
dia	दिया
keha	केहा
banna	बन्ना
chahati	चाहती
raajniti	राजनीति
roti	रोटी
sakne	सकने
aag	आग
bhayio	भायिओ
tumlogo	तुमलोगों
jinko	जिनको
takat	ताकत
seedhe	सीधे
bitar	बिटर
jaoge	जाओगे
mevani	मेवानी
unar	उनर
khalid	खालिद
divided	डिवाइडेड
tarha	तरहा
typographical	टाइपोग्राफिकल
karvane	करवाने
beseeched	बेसीचेड़
aapke	आपके
editor	एडिटर
maharashtra	महाराष्ट्र
tuje	तुजे
padi	पड़ी
dekhana	देखना
aadmi	आदमी
maha	महा
rok	रोक
zalim	ज़ालिम
isi	इसी
mudde	मुद्दे
pratikriya	प्रतिक्रिया
kadi	कड़ी
ninda	निंदा
asliyat	असलियत
khel	खेल
baaki	बाकी
dialogue	डायलाग
jaani	जानी
jiske	जिसके
seese	सीसे
dusro	दुसरो
gharo	घरो
feka	फेका
dharm	धर्म
sabke	सबके
khol	खोल
kyunke	क्यूंके
chura	चुरा
ram	राम
kucchh	कुछ
chhodo	छोड़ो
gareebi	गरीबी
mit	मिट
jayegi	जायेगी
daayare	दायरे
dekne	डेकने
kub	कुब
kalma	कालमा
qubul	कुबुल
rajneeti	राजनीति
sudar	सुदर
jawo	जाओ
duum	डूम
seedhi	सीधी
poochiye	पूछिये
usne	उसने
bachpan	बचपन
raja	राजा
tab	तब
besharmi	बेशर्मी
makkari	मक्कारी
pregnant	प्रेग्नेंट
sabko	सबको
maloom	मालूम
avhi	अव्ही
kbhi	कभी
uss	यूएसएस
boliye	बोलिये
detail	डिटेल
ise	इसे
hisab	हिसाब
maulana	मौलाना
fatweh	फटवेह
uney	उने
karey	करे
shariah	शरिया
kul	कुल
jasodaben	जसोदाबेन
leki	लेकी
mahabharata	महाभारत
uttar	उत्तर
pradesh	प्रदेश
shaandaar	शानदार
code	कोड
zarye	ज़रये
gujarat	गुजरात
praschit	प्रशित
karwabe	करवाबे
hindustani	हिंदुस्तानी
awsar	अवसार
usshme	उस्शमे
matvate	मतवाते
mahilayo	महिलयो
sharaph	शराफ
saman	समन
inke	इनके
intzar	इंतजार
iski	इसकी
bahu	बहु
chalega	चलेगा
bhaiyya	भैय्या
gulam	गुलाम
kyoun	क्यों
auratei	औरते
samaagri	समाग्री
kanoon	कानून
chinese	चाइनीज
hindi	हिंडी
tumhara	तुम्हारा
dhamki	धमकी
guru	गुरु
istifa	आईएसटीआईएफए
jimedar	जिमेदार
behnon	बहनों
behano	बेहनो
azadi	आजादी
galla	गल्ला
chlla	चल्ला
aasani	आसानी
faisal	फैसल
sunlte	सुनलते
faisle	फैसले
andh	अंध
bhak	भाक
jala	जला
bolte	बोलते
yashodaben	यशोदाबेन
akela	अकेला
diyo	दियो
dukaan	दुकान
chalane	चलने
sharia	शरिया
khadak	खडक
khadakane	खडकने
khadakati	खडकती
samaj	समाज
khaskar	खासकर
shiksha	शिक्षा
hokar	होकर
khalifa	खलीफा
edu	एडु
nhee	न्ही
apki	अपकी
duty	ड्यूटी
behtrin	बेहतरीन
jisse	जिस्से
kharab	खराब
aakr	आकर
khod	खोद
marjate	मरजाते
mardete	मरदेते
pesh	पेश
karane	करने
raazi	राज़ी
mulsman	मूलस्मान
ladki	लड़की
chale	चले
kysa	कैसा
lgta	लगता
asli	असली
dekhi	देखी
bohot	बोहोट
bhadda	भद्दा
khoode	खूदे
battar	बत्तर
haalat	हालत
rakkha	रक्खा
referendum	रेफरेंडम
haath	हाथ
rahu	राहु
ketu	केतु
jiski	जिसकी
jawaan	जवान
nukkad	नुक्कड़
jaate	जाते
tamatar	टमटर
maarte	मारते
jor	जोर
bolkar	बोलकर
ujad	उजड़
chalte	चलते
sehar	सेहर
bane	बने
ghum	घूम
bazaar	बजार
sarkar	सरकार
bida	बिदा
majhabi	मझबी
masla	मसला
rajnitik	राजनीतिक
leke	लेके
dukano	दुकानो
taala	ताला
shohar	शोहर
lagti	लगती
abolish	अबोलिश
mandir	मंदिर
vishay	विषय
maulanas	मौलानस
waqt	वक्त
buddhi	बुद्धि
padh	पढ़
thothli	थोथली
banani	बनानी
taki	ताकी
gira	गिरा
budhi	बुधी
jeewi	जीवी
rage	रेज
kuchh	कुछ
talve	तलवे
chatne	चाटने
astha	अस्था
visay	विजय
batate	बताते
jashodaben	जशोदाबेन
parivaar	परिवार
lenge	लेंगे
baal	बाल
kuritiyan	कुरितियां
bhale	भाले
judi	जुड़ी
kuriti	कुरिति
bheja	भेजा
kaminas	कमीनस
kabada	कबाडा
satha	साथा
saalon	सालों
kuwaaron	कुवारों
taraf	तरफ
jaanoge	जानोगे
bakloli	बकलोली
sibbal	सिब्बल
esi	ईएसआई
baatein	बातें
votes	वोट्स
sudhar	सुधार
raftaar	रफ्तार
badegi	बडेगी
re	रे
banti	बंटी
aapki	आपकी
chaiye	चाइये
sala	साला
vi	वी
karu	करू
khayu	खयू
sal	साल
hamdardi	हमदर्दी
btaye	बताये
dekr	डेकर
besahara	बेसहारा
dakhal	दाखल
dohre	दोहरे
rishta	रिश्ता
harram	हर्राम
chate	चाटे
dur	दूर
trupti	तृप्ति
desai	देसाई
magne	मागने
zoothi	जूठी
dange	डांगे
ayi	आयी
fursat	फुर्सत
doosri	दूसरी
kitaabein	किताबें
jafar	जाफर
jada	जादा
rakhiye	रखिये
mazhab	मज़हब
atyachar	अत्याचार
ibadat	इबादत
ghumne	घुमने
khusiya	खुसिया
manaa	मना
jaisi	जैसी
bolenge	बोलेंगे
delhi	डेल्ही
kaafi	काफी
mauka	मौका
bhejo	भेजो
haar	हार
mullah	मुल्ला
beghum	बेगम
chakar	चाकर
payega	पायेगा
talaak*	तलाक*
janam*	जनम*
lijiye	लीजिये
mard	मर्द
abandon	आबंडों
minister	मिनिस्टर
mahilaoke	महिलाओके
honewala	होनेवाला
kabse	कबसे
niyat	नियत
kay	के
bola	बोला
tenure	टेनुरे
karwaya	करवाया
banakar	बनाकर
sachch	सच्च
musalmaan	मुसलमान
auroton	औरोटों
package	पैकेज
kiyaa	किया
auraton	औरतों
kyaa	क्या
paap	पाप
jay	जय
mukti	मुक्ति
ajadi	आजादी
sochna	सोचना
yahan	यहाँ
dikhawa	दिखावा
tripal	त्रिपाल
palegi	पलेगी
koun	कौन
bechari	बेचारी
paksitan	पकसीतन
premi	प्रेमी
vahe	वाहे
shreeman	श्रीमान
debat	देबात
kase	कसे
yuva	युवा
rojgar	रोजगार
kaun	कौन
taiyaar	तैयार
mahengayi	महेंगायी
gundagardi	गुंडागर्दी
jamke	जमके
duba	डूबा
vasuli	वसूली
vijay	विजय
prapt	प्राप्त
satr	सत्र
mein14	में14
parit	परित
kumar	कुमार
central	सेंट्रल
sahyog	सहयोग
ichha	इछा
technology	टेक्नोलॉजी
